name,Z,A,M15Z0,M15Z1e-2,M15Z1e-1,M15Z1,M20Z0,M20Z1e-2,M20Z1e-1,M20Z1,M25Z0,M25Z1e-2,M25Z1e-1,M25Z1,M30Z0,M30Z1e-2,M30Z1e-1,M30Z1,M40Z0,M40Z1e-2,M40Z1e-1,M40Z1,M60Z0,M60Z1e-2,M60Z1e-1,M60Z1
h1,1,1,3.37370E-02,8.17693E-02,4.26658E-02,1.61115E-02,1.27063E-02,6.66033E-02,2.17126E-02,3.24982E-03,9.33152E-03,4.65739E-02,2.76953E-03,1.34063E-03,1.08752E-02,5.28167E-02,1.10350E-03,8.43957E-04,8.10430E-03,1.52414E-02,1.24833E-03,2.84148E-03,6.25562E-03,5.05717E-02,2.29138E-03,1.08306E-03
h2,1,2,3.60515E-13,8.48719E-13,1.80440E-16,5.60379E-13,1.05826E-11,1.35512E-11,2.41696E-12,6.00626E-11,3.26279E-11,5.62562E-13,1.62459E-11,6.54478E-12,2.69812E-12,9.33100E-12,2.83218E-12,2.03970E-15,2.65745E-12,1.62782E-12,9.45901E-14,3.23780E-17,1.94025E-13,5.04175E-11,1.70688E-12,2.60591E-16
he3,2,3,1.61830E-10,8.25222E-09,1.54360E-09,1.04302E-13,3.98601E-11,3.83795E-09,9.77382E-10,4.51247E-12,1.43299E-11,2.89766E-10,3.40403E-12,1.19784E-14,3.51549E-12,2.04494E-09,5.83065E-13,1.36000E-15,1.28595E-12,4.98768E-10,2.56387E-15,2.25478E-16,1.80489E-11,4.21279E-10,1.45069E-12,4.35241E-17
he4,2,4,2.51247E+00,2.38730E+00,2.38896E+00,2.36132E+00,2.54910E+00,2.55397E+00,2.43427E+00,2.31127E+00,2.77688E+00,2.56330E+00,2.59191E+00,2.14225E+00,2.93865E+00,2.79906E+00,2.61891E+00,2.04791E+00,3.40352E+00,2.93623E+00,2.67692E+00,1.05732E+00,4.03510E+00,3.54231E+00,2.56019E+00,7.93670E-01
li6,3,6,4.40418E-19,5.16575E-15,5.28306E-19,6.52043E-19,6.53379E-13,2.14269E-12,9.38249E-16,2.12022E-13,1.10217E-13,7.62954E-18,1.73723E-13,6.13135E-19,3.20820E-18,2.14608E-16,9.26188E-14,8.70761E-17,2.11497E-14,2.68904E-15,1.75644E-17,1.51464E-18,4.73259E-18,3.47191E-12,4.11789E-14,8.16067E-18
li7,3,7,1.11022E-09,2.11304E-10,5.01396E-12,1.59245E-13,1.62673E-10,3.42119E-11,1.46327E-08,2.91956E-10,1.43630E-09,1.47405E-10,1.98718E-11,7.94505E-10,9.13520E-10,1.16054E-09,2.20063E-09,5.56064E-11,7.26387E-11,2.64314E-08,6.54334E-10,1.18024E-10,4.43459E-09,9.98253E-10,4.91997E-10,7.25022E-17
be9,4,9,1.14354E-18,2.20385E-20,8.20424E-20,7.91596E-21,2.18285E-18,1.13578E-17,1.05847E-20,9.79175E-18,1.47736E-16,3.93237E-22,1.84723E-16,1.11619E-26,2.09752E-17,5.32202E-21,3.85667E-18,1.02778E-19,8.24159E-18,4.46864E-20,6.04152E-21,1.42001E-23,7.30896E-21,1.27488E-16,1.96458E-17,7.85391E-22
b10,5,10,2.95200E-19,6.68670E-15,9.57028E-19,4.77985E-19,6.17355E-12,1.74305E-11,1.35538E-17,7.73066E-12,1.66546E-12,9.67731E-21,3.61934E-12,3.28815E-22,8.82245E-18,2.06683E-18,3.95362E-13,3.44755E-17,6.89259E-16,5.00594E-17,7.13310E-17,1.34583E-18,1.00133E-16,5.43940E-11,4.00032E-13,1.76347E-16
b11,5,11,3.51844E-08,3.96704E-10,3.90397E-15,8.19432E-16,3.61480E-09,1.13369E-10,4.88774E-12,3.92982E-09,2.00754E-10,1.71583E-12,3.66761E-11,1.86399E-14,2.27319E-10,3.13606E-13,4.95974E-12,7.47418E-12,5.06888E-13,6.09840E-12,7.48065E-12,5.65945E-14,1.19884E-10,6.87557E-09,8.14672E-11,9.90421E-15
c12,6,12,1.84982E-01,2.39896E-01,2.03601E-01,1.72801E-01,2.65683E-01,3.18255E-01,3.97795E-01,3.65295E-01,3.40897E-01,8.50177E-01,7.59689E-01,6.27458E-01,9.06086E-01,8.59614E-01,1.04621E+00,1.00969E+00,1.26881E+00,1.24531E+00,1.34657E+00,1.36151E+00,4.42270E-01,6.12947E-01,1.04908E+00,1.74794E+00
