element,M15Z0,M15Z1e-2,M15Z1e-1,M15Z1,M20Z0,M20Z1e-2,M20Z1e-1,M20Z1,M25Z0,M25Z1e-2,M25Z1e-1,M25Z1,M30Z0,M30Z1e-2,M30Z1e-1,M30Z1,M40Z0,M40Z1e-2,M40Z1e-1,M40Z1,M60Z0,M60Z1e-2,M60Z1e-1,M60Z1
H,3.374e-02,8.177e-02,4.267e-02,1.611e-02,1.271e-02,6.660e-02,2.171e-02,3.250e-03,9.332e-03,4.657e-02,2.770e-03,1.341e-03,1.088e-02,5.282e-02,1.104e-03,8.440e-04,8.104e-03,1.524e-02,1.248e-03,2.841e-03,6.256e-03,5.057e-02,2.291e-03,1.083e-03
He,2.512e+00,2.387e+00,2.389e+00,2.361e+00,2.549e+00,2.554e+00,2.434e+00,2.311e+00,2.777e+00,2.563e+00,2.592e+00,2.142e+00,2.939e+00,2.799e+00,2.619e+00,2.048e+00,3.404e+00,2.936e+00,2.677e+00,1.057e+00,4.035e+00,3.542e+00,2.560e+00,7.937e-01
Li,1.110e-09,2.113e-10,5.014e-12,1.592e-13,1.633e-10,3.635e-11,1.463e-08,2.922e-10,1.436e-09,1.474e-10,2.005e-11,7.945e-10,9.135e-10,1.161e-09,2.201e-09,5.561e-11,7.266e-11,2.643e-08,6.543e-10,1.180e-10,4.435e-09,1.002e-09,4.920e-10,8.066e-17
Be,1.144e-18,2.204e-20,8.204e-20,7.916e-21,2.183e-18,1.136e-17,1.058e-20,9.792e-18,1.477e-16,3.932e-22,1.847e-16,1.116e-26,2.098e-17,5.322e-21,3.857e-18,1.028e-19,8.242e-18,4.469e-20,6.042e-21,1.420e-23,7.309e-21,1.275e-16,1.965e-17,7.854e-22
B,3.518e-08,3.967e-10,3.905e-15,8.199e-16,3.621e-09,1.308e-10,4.888e-12,3.938e-09,2.024e-10,1.716e-12,4.030e-11,1.864e-14,2.273e-10,3.136e-13,5.355e-12,7.474e-12,5.076e-13,6.098e-12,7.481e-12,5.660e-14,1.199e-10,6.930e-09,8.187e-11,1.008e-14
C,1.850e-01,2.399e-01,2.036e-01,1.729e-01,2.671e-01,3.190e-01,3.978e-01,3.656e-01,3.416e-01,8.547e-01,7.607e-01,6.275e-01,9.065e-01,8.686e-01,1.047e+00,1.010e+00,1.273e+00,1.247e+00,1.347e+00,1.362e+00,4.425e-01,6.240e-01,1.050e+00,1.748e+00
N,1.242e-04,4.287e-04,2.558e-03,2.212e-02,2.202e-02,1.801e-02,2.020e-02,1.409e-02,2.250e-02,1.923e-02,1.880e-02,2.892e-02,2.207e-02,3.028e-02,1.317e-02,1.881e-02,1.176e-02,1.866e-02,7.024e-03,2.998e-04,2.106e-03,2.571e-02,1.011e-03,4.357e-07
O,5.312e-01,6.262e-01,5.345e-01,5.596e-01,1.815e+00,2.099e+00,1.636e+00,1.435e+00,3.044e+00,3.688e+00,3.180e+00,2.708e+00,4.892e+00,5.592e+00,4.944e+00,3.860e+00,8.692e+00,8.983e+00,8.027e+00,5.788e+00,1.417e+01,1.455e+01,1.273e+01,9.213e+00
F,5.885e-07,5.429e-06,5.735e-08,1.493e-06,1.183e-06,2.760e-06,1.143e-05,7.853e-07,1.126e-05,1.201e-05,9.500e-06,3.939e-05,1.301e-05,1.232e-05,3.073e-05,7.565e-05,1.660e-06,1.454e-03,6.760e-05,1.059e-04,1.163e-04,2.142e-04,2.460e-05,4.314e-05
Ne,1.234e-02,2.965e-01,2.383e-01,2.392e-02,6.555e-01,5.661e-01,7.056e-01,4.302e-02,6.238e-01,9.602e-01,1.010e+00,1.300e+00,1.093e+00,1.362e+00,1.330e+00,1.355e+00,1.713e+00,1.574e+00,1.992e+00,2.427e+00,3.835e+00,3.384e+00,3.933e+00,2.553e+00
Na,4.355e-05,3.417e-03,1.605e-03,8.002e-04,4.201e-03,1.905e-03,1.304e-02,5.041e-04,3.095e-03,2.833e-02,2.406e-02,2.772e-02,2.336e-02,2.240e-02,2.682e-02,2.969e-02,3.172e-02,3.268e-02,2.923e-02,3.318e-02,3.387e-02,2.509e-02,2.911e-02,5.612e-03
Mg,4.197e-02,8.846e-02,9.162e-02,6.468e-02,2.259e-01,2.745e-01,1.305e-01,3.818e-02,2.646e-01,1.455e-01,1.430e-01,2.237e-01,2.004e-01,1.992e-01,1.952e-01,2.549e-01,2.977e-01,2.283e-01,2.659e-01,4.372e-01,8.693e-01,1.089e+00,9.340e-01,9.694e-01
