  Z,DDT(M1.37Z1),PTD(M1.37Z1),subCH(M1.0Z1)
  1,5.13791e-07,5.88396e-08,3.98512e-05
  2,8.19564e-03,6.17686e-04,4.77729e-02
  3,6.27188e-24,6.34035e-21,1.01351e-18
  4,1.31334e-26,8.78516e-28,1.29993e-21
  5,3.10992e-17,1.24396e-15,1.26672e-13
  6,1.07619e-03,2.73052e-01,1.15155e-03
  7,2.34752e-10,7.04426e-09,1.84045e-08
  8,5.69127e-02,3.01884e-01,6.64423e-02
  9,1.38927e-13,1.69838e-11,2.39111e-11
 10,1.81696e-04,1.39912e-02,1.15982e-03
 11,8.09419e-07,9.64927e-06,8.39394e-06
 12,1.11025e-03,3.52693e-03,1.32845e-03
 13,9.14977e-05,2.60077e-04,1.14327e-04
 14,2.35729e-01,3.64530e-02,1.25714e-01
 15,1.92414e-04,1.11657e-04,1.53457e-04
 16,1.25754e-01,1.61908e-02,6.77208e-02
 17,2.04575e-04,3.87420e-05,1.29958e-04
 18,2.41270e-02,2.74227e-03,1.29266e-02
 19,1.89741e-04,1.70926e-05,9.82216e-05
 20,1.80644e-02,2.06595e-03,1.07608e-02
 21,6.05663e-07,3.80681e-08,3.77731e-07
 22,4.10104e-04,4.69248e-05,7.64860e-04
 23,9.50814e-05,2.19419e-05,7.62535e-05
 24,8.84227e-03,1.95696e-03,3.12516e-03
 25,1.03785e-02,5.67368e-03,1.32355e-03
 26,7.99523e-01,3.66014e-01,6.25230e-01
 27,8.86401e-04,2.84233e-04,5.36990e-04
 28,7.70284e-02,4.09790e-02,3.31410e-02
 29,4.13575e-06,2.10425e-07,1.01237e-05
 30,4.53831e-05,1.52847e-06,5.19398e-05
